,Product URL,Product Name,Product Price,Rating,Number of reviews,Product Dimensions,Date First Available,Manufacturer,ASIN,Country of Origin,Department,Packer,Importer,Item Weight,Item Dimensions LxWxH,Net Quantity,Generic Name,Color,Shipping Weight,Item Model Number,Item Part Number,Primary material,Capacity,What is in the box?,Item Shape,Footboard upholstery,Imported By,Item model number,Included Components,Is Discontinued By Manufacturer,Brand,Model,Special Features,Mounting Hardware,Batteries Required,Material,Series,Colour,Item Height,Item Width,Standing screen display size,Item part number,Age Range,Batteries Included,Handle Type,Material Type,Outer Material,Season,Size,Sport,Style,Model Number,Target gender,Additional product features,Number of items,Batteries required,Manufacturer recommended age,Are Batteries Included,Best,,Batteries,Compatible Devices,Package Dimensions,Model Name,Battery cell composition,Is Assembly Required,Number of Pieces,Weight,Other display features,Form factor,Whats in the box,Lithium Battery Energy Content,Number of Lithium Ion Cells,Number of Lithium Metal Cells
10,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-15,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7,"7,051",49 x 33 x 10 cm; 82 Grams,17 December 2015,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B019HA8AYG,India,Unisex-adult,Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366,,82 g,49 x 33 x 10 Centimeters,1 count,Bag,,,,,,,,,,,BKPCARYON0110,Backpack,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-16,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,"6,040",48 x 32 x 14 cm; 340 Grams,2 August 2018,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B07G4F6XFH,India,Unisex-adult,Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366,,340 g,48 x 32 x 14 Centimeters,1 count,Laptop Backpack,,,,,,,,,,,LBPCLSLTH0201,Laptop Backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-17,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,227",4.5,"7,383",27 x 32 x 53 cm; 490 Grams,5 April 2018,"Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B07BZ5VC4H,India,Unisex-adult,"Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838","Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",490 g,27 x 32 x 53 Centimeters,1 Count,Backpack,,,,,,,,,,,SEEK 45L 21 OB BLK,Safari 45.792 Ltrs Black Casual Backpack (Seek 45L 21 OB BLK),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-18,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,666,20 x 32.5 x 47.5 cm; 510 Grams,30 January 2023,"EXPERTS, China",B0BTD4FK9G,China,Mens,China,"Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com",510 g,20 x 32.5 x 47.5 Centimeters,1 Count,BACKPACK,,,,,,,,,,,LT9 (0) 01 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-19,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",249,4.1,"9,706",26 x 38 x 14 cm; 200 Grams,20 May 2020,Korrun India Pvt. Ltd,B088XB5XY8,India,,,"Xiaomi Technology India Private Limited, Building Orchid. Block E, Embassy Tech Village, Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru 560103",200 g,26 x 38 x 14 Centimeters,1 count,Backpack,,,,,,,,,,,25740,,,MI,25740,"Water Resistent, Light Weight, Ergonomic Design, Adjustable",Backpack,No,Polyester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-20,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4.0,"8,320",62.99 x 30 x 32 cm; 1.5 Kilograms,23 June 2021,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",B097RJ22Q3,India,Unisex-adult,Bagzone Lifestyles pvt ltd,"Bagzone Lifestyle pvt ltd, Bagzone Lifestyle Pvt Ltd",1 kg 500 g,63 x 30 x 32 Centimeters,1 Count,Duffle Bag,,,,,,,,,,,DGGE035040M3,Duffle Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-19,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,227",4.5,"7,383",27 x 32 x 53 cm; 490 Grams,5 April 2018,"Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B07BZ5VC4H,India,Unisex-adult,"Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838","Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",490 g,27 x 32 x 53 Centimeters,1 Count,Backpack,,,,,,,,,,,SEEK 45L 21 OB BLK,Safari 45.792 Ltrs Black Casual Backpack (Seek 45L 21 OB BLK),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-20,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,499,3.9,"1,148",32 x 20 x 47 cm; 530 Grams,1 March 2022,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B09TPX22NF,India,Men,"ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",,530 g,32 x 20 x 47 Centimeters,1.00 count,Laptop backpack,,,,,,,,,,,BP041,Laptop backpack only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-21,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",249,4.1,"9,706",26 x 38 x 14 cm; 200 Grams,20 May 2020,Korrun India Pvt. Ltd,B088XB5XY8,India,,,"Xiaomi Technology India Private Limited, Building Orchid. Block E, Embassy Tech Village, Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru 560103",200 g,26 x 38 x 14 Centimeters,1 count,Backpack,,,,,,,,,,,25740,,,MI,25740,"Water Resistent, Light Weight, Ergonomic Design, Adjustable",Backpack,No,Polyester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-22,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",839,4.3,"4,203",12.5 x 32 x 43.51 cm; 480 Grams,23 December 2020,Lenovo,B08R7RPVJF,India,,"#43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India","Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel,",480 g,12.5 x 32 x 43.5 Centimeters,1 Count,Backpack,,,,,,,,,,,GX41B33568,"Backpack, warranty Card",,Lenovo,,,,,,Slim Everyday Backpack,Blue,43.51 Centimeters,32 Centimeters,15.6 Inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-23,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,209,4.2,"3,518",46 x 32 x 10 cm; 190 Grams,14 October 2020,"Arctic Fox, Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..",B08L6Q9V1H,India,unisex-adult,"Outshiny India Pvt. Ltd., No.17, Ganesh Nagar, 8th B Cross,Narayanappa Layout, Kodigehalli,Bengaluru - 560097.",,190 g,46 x 32 x 10 Centimeters,1.00 count,Drawstring,,,,,,,,,,,FTEBPKMULW109015BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-24,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,115",4.4,"6,098",50 x 34 x 18 cm; 613.3 Grams,14 September 2017,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B075MK4TXP,India,Unisex-adult,Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366,,613 g,50 x 34 x 18 Centimeters,1 count,Bag,,,,,,,,,,,LBPASPIRE0104,Laptop Backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-25,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0,"5,611",30 x 18 x 42 cm; 600 Grams,17 March 2022,"FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",B09VTCNN75,India,unisex-adult,"Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",,600 g,30 x 18 x 42 Centimeters,1.00 Unit,Anti Theft Laptop Backpack,,,,,,,,,,,BM83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-26,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,439,3.8,54,10 x 30 x 40 cm; 400 Grams,28 March 2023,"LOOKMUSTER, ABU GROUP OF INDUSTRIES B-3/406 AGAR NAGAR PREM NAGAR-RD KIRARI SULEMAN NAGAR DELHI-110086",B0BZW8KW18,India,unisex-adult,ABU GROUP OF INDUSTRIES B-3/406 AGAR NAGAR PREM NAGAR-RD KIRARI SULEMAN NAGAR DELHI-110086,,400 g,10 x 30 x 40 Centimeters,1 count,Bags,,,,,,,,,,,GP-BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-29,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,839,4.0,"13,934",30 x 12 x 42 cm; 600 Grams,16 December 2017,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B078GLXMDY,India,unisex-adult,"Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",,600 g,30 x 12 x 42 Centimeters,1 count,Laptop Backpack,,,,,,,,,,,BM20,1 Laptop Backpack,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-30,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,"1,610",33 x 7 x 48 cm; 450 Grams,17 January 2022,"WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604",B09QL81ZHB,India,mens,"ADL International, 61B G.J. Khan Road, Kolkata-700039, Contact: +91 9051643604",,450 g,33 x 7 x 48 Centimeters,1.00 count,Laptop Backpack,,,,,,,,,,,BP012,Back Padding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-31,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,666,20 x 32.5 x 47.5 cm; 510 Grams,30 January 2023,"EXPERTS, China",B0BTD4FK9G,China,Mens,China,"Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com",510 g,20 x 32.5 x 47.5 Centimeters,1 Count,BACKPACK,,,,,,,,,,,LT9 (0) 01 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-32,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",599,3.7,262,10 x 20 x 30 cm; 450 Grams,13 March 2023,Rama luxury store,B0BYB631NR,India,Unisex-adult,,,450 g,10 x 20 x 30 Centimeters,1 Count,,,,,,,,,,,,Epower_grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-33,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.3,850,20 x 32.5 x 47.5 cm; 510 Grams,30 January 2023,"EXPERTS, China",B0BTD4S4XF,China,mens,China,"Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com",510 g,20 x 32.5 x 47.5 Centimeters,1 Count,BACKPACK,,,,,,,,,,,LT9 (0) 09 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1692690546&sprefix=ba%2Caps%2C283&sr=8-34,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,329,4.0,"20,481",8 x 27 x 38 cm; 180 Grams,27 March 2019,"Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B07Q7CNPMV,India,unisex-adult,"Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838","Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",180 g,8 x 27 x 38 Centimeters,1 Count,Backpack,,,,,,,,,,,DAYPACKNEO15CBSEB,SAFARI 15 Ltrs Sea Blue Casual Backpack (DAYPACKNEO15CBSEB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
